task_id,passed,avg_cyclomatic_complexity,max_cyclomatic_complexity,style_score,efficiency_score,loc_score,functional_correctness,overall_score
HumanEval/61,False,0.6,0.6,0.0,0.9999990463256836,0.76,0.0,0.29599990463256837
HumanEval/62,False,0.7,0.7,0.14285714285714288,0.9999988873799642,0.84,0.0,0.352571317309425
HumanEval/63,False,0.8,0.8,0.0,0.9999989668528239,0.9,0.0,0.3499998966852825
HumanEval/64,False,0.7,0.7,0.1666666666666666,0.9999989668528239,0.88,0.0,0.3613332300186157
HumanEval/65,False,,,0.0,,0.94,0.0,0.094
HumanEval/66,True,0.7,0.7,0.0,0.9999988079071045,0.88,1.0,0.7279998807907104
HumanEval/67,False,0.9,0.9,0.0,0.9999988079071045,0.92,0.0,0.3719998807907105
HumanEval/68,True,0.19999999999999996,0.19999999999999996,0.6666666666666667,0.9999988873799642,0.8200000000000001,1.0,0.7553332220713298
HumanEval/69,False,,,0.0,,0.98,0.0,0.098
HumanEval/70,False,0.8,0.8,0.5,0.9999988873799642,0.8200000000000001,0.0,0.44199988873799645
HumanEval/71,False,0.6,0.6,0.0,0.9999985694885254,0.9,0.0,0.30999985694885257
HumanEval/72,True,0.7,0.7,0.0,0.9999988873799642,0.96,1.0,0.7359998887379965
HumanEval/73,False,0.7,0.7,0.2857142857142857,0.9999988873799642,0.8,0.0,0.37714274588085356
HumanEval/74,True,0.30000000000000004,0.30000000000000004,0.0,0.9999986489613851,0.74,1.0,0.6339998648961385
HumanEval/75,False,0.6,0.6,0.0,0.9999989668528239,0.8200000000000001,0.0,0.3019998966852824
HumanEval/76,False,0.9,0.9,0.0,0.9999988079071045,0.96,0.0,0.37599988079071045
HumanEval/77,False,0.6,0.6,0.42857142857142866,0.9999989668528239,0.86,0.0,0.3917141823995682
HumanEval/78,False,,,0.0,,0.96,0.0,0.096
HumanEval/79,True,0.7,0.7,0.625,0.9999988873799642,0.84,1.0,0.8489998887379965
HumanEval/80,False,0.7,0.7,0.0,0.9999988873799642,0.96,0.0,0.3359998887379964
HumanEval/81,False,,,0.0,,0.94,0.0,0.094
HumanEval/82,False,0.7,0.7,0.5,0.9999987284342448,0.88,0.0,0.4279998728434245
HumanEval/83,False,0.6,0.6,0.0,0.9999989668528239,0.88,0.0,0.3079998966852824
HumanEval/84,False,0.8,0.8,0.1666666666666666,0.9999988873799642,0.88,0.0,0.3813332220713298
HumanEval/85,False,0.7,0.7,0.0,0.9999989668528239,0.96,0.0,0.3359998966852824
HumanEval/86,False,0.8,0.8,0.0,0.9999988873799642,0.88,0.0,0.3479998887379965
HumanEval/87,False,0.6,0.6,0.5555555555555556,0.9999985694885254,0.7,0.0,0.40111096805996366
HumanEval/88,False,0.8,0.8,0.5,0.9999988873799642,0.88,0.0,0.44799988873799645
HumanEval/89,False,0.8,0.8,0.0,0.9999990463256836,0.94,0.0,0.35399990463256836
HumanEval/90,True,0.6,0.6,0.625,0.9999989668528239,0.84,1.0,0.8289998966852824
HumanEval/91,False,0.7,0.7,0.33333333333333337,0.9999989668528239,0.88,0.0,0.3946665633519491
HumanEval/92,False,,,0.0,,0.8200000000000001,0.0,0.08200000000000002
HumanEval/93,False,0.7,0.7,0.1666666666666666,0.9999988079071045,0.84,0.0,0.3573332141240438
HumanEval/94,True,0.55,0.4,0.0,0.9999988873799642,0.7,1.0,0.6799998887379964
HumanEval/95,False,0.30000000000000004,0.30000000000000004,0.6666666666666667,0.9999988873799642,0.76,0.0,0.3693332220713298
HumanEval/96,False,0.4,0.4,0.6923076923076923,0.9999988873799642,0.74,0.0,0.3924614271995349
HumanEval/97,False,0.8,0.8,0.0,0.9999988079071045,0.94,0.0,0.35399988079071043
HumanEval/98,False,0.6,0.6,0.1666666666666666,0.9999989668528239,0.88,0.0,0.34133323001861576
HumanEval/99,False,0.6,0.6,0.2857142857142857,0.9999989668528239,0.8200000000000001,0.0,0.35914275382813954
HumanEval/100,False,0.7,0.7,0.2857142857142857,0.9999989668528239,0.84,0.0,0.3811427538281395
HumanEval/101,False,0.9,0.9,0.0,0.9999990463256836,0.96,0.0,0.3759999046325684
HumanEval/102,False,0.6,0.6,0.0,0.9999988079071045,0.88,0.0,0.30799988079071045
HumanEval/103,True,0.7,0.7,0.33333333333333337,0.9999988079071045,0.8200000000000001,1.0,0.7886665474573771
HumanEval/104,False,0.6,0.6,0.0,0.9999988873799642,0.96,0.0,0.31599988873799645
HumanEval/105,False,,,0.0,,0.88,0.0,0.08800000000000001
HumanEval/106,False,0.6,0.6,0.0,0.9999988873799642,0.84,0.0,0.30399988873799644
HumanEval/107,False,0.6,0.6,0.5,0.9999987284342448,0.8200000000000001,0.0,0.4019998728434245
HumanEval/108,False,0.6,0.6,0.0,0.9999988873799642,0.86,0.0,0.30599988873799644
HumanEval/109,False,0.6,0.6,0.6363636363636364,0.9999988873799642,0.64,0.0,0.4112726160107237
HumanEval/110,False,0.4,0.4,0.6,0.9999988079071045,0.7,0.0,0.3699998807907105
HumanEval/111,False,0.7,0.7,0.5714285714285714,0.9999988873799642,0.74,0.0,0.4282856030237107
HumanEval/112,True,0.7,0.7,0.1666666666666666,0.9999988079071045,0.88,1.0,0.7613332141240438
HumanEval/113,False,,,0.0,,0.94,0.0,0.094
HumanEval/114,True,0.7,0.7,0.0,0.9999988873799642,0.96,1.0,0.7359998887379965
HumanEval/115,False,0.6,0.6,0.33333333333333337,0.9999987284342448,0.7,0.0,0.35666653951009114
HumanEval/116,False,0.9,0.9,0.4,,0.88,0.0,0.34800000000000003
HumanEval/117,False,0.4,0.4,0.0,0.9999985694885254,0.94,0.0,0.27399985694885254
HumanEval/118,False,0.7,0.7,0.5,0.9999988873799642,0.88,0.0,0.42799988873799644
HumanEval/119,False,0.30000000000000004,0.30000000000000004,0.75,0.9999988873799642,0.76,0.0,0.38599988873799645
HumanEval/120,False,0.9,0.9,0.0,0.9999987284342448,0.9,0.0,0.36999987284342456
HumanEval/121,False,0.6,0.6,0.0,0.9999988873799642,0.96,0.0,0.31599988873799645
HumanEval/122,False,0.6,0.6,0.6666666666666667,0.9999987284342448,0.8200000000000001,0.0,0.43533320617675786
HumanEval/123,False,0.7,0.7,0.0,0.9999989668528239,0.96,0.0,0.3359998966852824
HumanEval/124,False,0.0,0.0,0.0,0.9999980926513672,0.72,0.0,0.17199980926513672
HumanEval/125,False,0.5,0.5,0.0,0.9999988079071045,0.86,0.0,0.2859998807907105
HumanEval/126,False,0.6,0.6,0.0,0.9999989668528239,0.8200000000000001,0.0,0.3019998966852824
HumanEval/127,False,0.5,0.5,0.0,0.9999975363413492,0.78,0.0,0.277999753634135
HumanEval/128,False,0.5,0.5,0.0,0.9999988873799642,0.8,0.0,0.2799998887379964
HumanEval/129,False,0.9,0.9,0.22222222222222224,0.9999986489613851,0.8200000000000001,0.0,0.406444309340583
HumanEval/130,False,0.8,0.8,0.0,0.9999989668528239,0.86,0.0,0.34599989668528247
HumanEval/131,False,0.7,0.7,0.33333333333333337,0.9999988873799642,0.88,0.0,0.3946665554046631
HumanEval/132,False,0.4,0.4,0.7,0.9999988873799642,0.78,0.0,0.39799988873799647
HumanEval/133,False,0.8,0.8,0.0,0.9999989668528239,0.96,0.0,0.3559998966852824
HumanEval/134,True,0.6,0.6,0.0,0.9999988873799642,0.84,1.0,0.7039998887379965
HumanEval/135,False,0.7,0.7,0.4,0.9999989668528239,0.9,0.0,0.4099998966852824
HumanEval/136,False,0.19999999999999996,0.19999999999999996,0.0,0.9999988873799642,0.8200000000000001,0.0,0.22199988873799642
HumanEval/137,False,0.0,0.0,0.41666666666666663,0.9999988079071045,0.72,0.0,0.2553332141240438
HumanEval/138,False,0.7,0.7,0.2,0.9999988873799642,0.9,0.0,0.36999988873799644
HumanEval/139,False,0.7,0.7,0.42857142857142866,0.9999988873799642,0.86,0.0,0.41171417445228214
HumanEval/140,False,0.5,0.5,0.6666666666666667,0.9999987284342448,0.78,0.0,0.4113332061767579
HumanEval/141,False,0.0,0.0,0.0,0.9999988079071045,0.74,0.0,0.17399988079071044
HumanEval/142,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/143,False,1.0,1.0,0.0,,0.98,0.0,0.29800000000000004
HumanEval/144,False,0.9,0.9,0.0,0.9999987284342448,0.96,0.0,0.3759998728434245
HumanEval/145,False,,,0.0,,0.98,0.0,0.098
HumanEval/146,False,0.6,0.6,0.33333333333333337,0.9999988873799642,0.88,0.0,0.37466655540466315
HumanEval/147,False,0.5,0.5,0.0,0.9999988873799642,0.96,0.0,0.29599988873799643
HumanEval/148,False,0.7,0.7,0.0,0.9999987284342448,0.84,0.0,0.32399987284342446
HumanEval/149,False,0.7,0.7,0.5,0.9999988873799642,0.88,0.0,0.42799988873799644
HumanEval/150,False,0.8,0.8,0.0,0.9999985694885254,0.9,0.0,0.3499998569488526
HumanEval/151,False,0.6,0.6,0.5,0.9999989668528239,0.88,0.0,0.4079998966852824
HumanEval/152,True,0.7,0.7,0.2857142857142857,0.9999988079071045,0.84,1.0,0.7811427379335676
HumanEval/153,False,1.0,1.0,0.0,,0.6799999999999999,0.0,0.268
HumanEval/154,False,,,0.0,,0.96,0.0,0.096
HumanEval/155,True,0.7,0.7,0.5,0.9999987284342448,0.88,1.0,0.8279998728434245
HumanEval/156,False,0.0,0.0,0.8947368421052632,0.999998410542806,0.21999999999999997,0.0,0.30094720947533327
HumanEval/157,False,0.8,0.8,0.0,0.9999986489613851,0.9,0.0,0.3499998648961386
HumanEval/158,False,0.4,0.4,0.0,0.9999988079071045,0.74,0.0,0.25399988079071045
HumanEval/159,False,0.9,0.9,0.0,0.9999985694885254,0.96,0.0,0.3759998569488525
HumanEval/160,True,0.8,0.8,0.0,0.9999988079071045,0.96,1.0,0.7559998807907105
HumanEval/161,False,0.6,0.6,0.42857142857142866,0.9999988873799642,0.84,0.0,0.3897141744522822
HumanEval/162,True,0.8,0.8,0.2,0.9999989668528239,0.88,1.0,0.7879998966852825
HumanEval/163,False,0.7,0.7,0.0,0.9999988079071045,0.96,0.0,0.3359998807907104
