task_id,passed,avg_cyclomatic_complexity,max_cyclomatic_complexity,style_score,efficiency_score,loc_score,functional_correctness,overall_score
HumanEval/78,True,0.7,0.7,0.0,0.9999988079071045,0.94,1.0,0.7339998807907104
HumanEval/79,False,1.0,1.0,0.0,,0.98,0.0,0.29800000000000004
HumanEval/80,True,0.6,0.6,0.375,0.9999985694885254,0.8200000000000001,1.0,0.7769998569488525
HumanEval/81,False,,,0.0,,0.98,0.0,0.098
HumanEval/82,False,,,0.0,,0.9,0.0,0.09000000000000001
HumanEval/83,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/84,True,0.8,0.8,0.0,0.9999986489613851,0.72,1.0,0.7319998648961386
HumanEval/85,True,0.6,0.6,0.0,0.9999988079071045,0.96,1.0,0.7159998807907104
HumanEval/86,False,,,0.0,,0.96,0.0,0.096
HumanEval/87,False,0.6,0.6,0.0,0.9999985694885254,0.88,0.0,0.30799985694885257
HumanEval/88,True,0.7,0.7,0.42857142857142866,0.9999987284342448,0.84,1.0,0.8097141585577102
HumanEval/89,False,,,0.0,,0.76,0.0,0.07600000000000001
HumanEval/90,True,0.8,0.8,0.5,0.9999984900156657,0.88,1.0,0.8479998490015666
HumanEval/91,False,,,0.0,,0.72,0.0,0.072
HumanEval/92,False,0.4,0.4,0.0,0.9999982515970866,0.94,0.0,0.27399982515970867
HumanEval/93,False,,,0.0,,0.6799999999999999,0.0,0.06799999999999999
HumanEval/94,False,1.0,1.0,0.0,,0.6599999999999999,0.0,0.266
HumanEval/95,False,0.5,0.5,0.0,0.9999987284342448,0.86,0.0,0.2859998728434245
HumanEval/96,False,,,0.0,,0.62,0.0,0.062
HumanEval/97,False,0.30000000000000004,0.30000000000000004,0.0,0.9999983310699463,0.86,0.0,0.24599983310699464
HumanEval/98,True,0.5,0.5,0.0,0.9999988079071045,0.96,1.0,0.6959998807907104
HumanEval/99,False,,,0.0,,0.9,0.0,0.09000000000000001
HumanEval/100,False,0.7,0.7,0.6666666666666667,0.9999986489613851,0.56,0.0,0.42933319822947186
HumanEval/101,False,0.9,0.9,0.0,0.9999988079071045,0.96,0.0,0.37599988079071045
HumanEval/102,False,,,0.0,,0.8,0.0,0.08000000000000002
HumanEval/103,True,0.8,0.8,0.0,0.9999985694885254,0.9,1.0,0.7499998569488525
HumanEval/104,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/105,False,1.0,1.0,0.0,,0.98,0.0,0.29800000000000004
HumanEval/106,True,0.7,0.7,0.33333333333333337,0.9999985694885254,0.8200000000000001,1.0,0.7886665236155193
HumanEval/107,False,,,0.0,,0.9,0.0,0.09000000000000001
HumanEval/108,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/109,False,,,0.0,,0.72,0.0,0.072
HumanEval/110,False,,,0.0,,0.98,0.0,0.098
HumanEval/111,False,,,0.0,,0.56,0.0,0.05600000000000001
HumanEval/112,True,0.30000000000000004,0.30000000000000004,0.0,0.9999985694885254,0.94,1.0,0.6539998569488525
HumanEval/113,False,,,0.0,,0.78,0.0,0.07800000000000001
HumanEval/114,True,0.7,0.7,0.5555555555555556,0.9999984900156657,0.8200000000000001,1.0,0.8331109601126778
HumanEval/115,False,,,0.0,,0.86,0.0,0.08600000000000001
HumanEval/116,False,,,0.0,,0.94,0.0,0.094
HumanEval/117,False,,,0.0,,0.76,0.0,0.07600000000000001
HumanEval/118,False,,,0.0,,0.92,0.0,0.09200000000000001
HumanEval/119,False,,,0.0,,0.6799999999999999,0.0,0.06799999999999999
HumanEval/120,False,0.9,0.9,0.33333333333333337,0.9999984900156657,0.6,0.0,0.40666651566823325
HumanEval/121,False,,,0.0,,0.96,0.0,0.096
HumanEval/122,False,1.0,1.0,0.0,,0.94,0.0,0.29400000000000004
HumanEval/123,False,0.30000000000000004,0.30000000000000004,0.5833333333333333,0.9999984900156657,0.74,0.0,0.35066651566823326
HumanEval/124,False,,,0.0,,0.84,0.0,0.084
HumanEval/125,False,1.0,1.0,0.0,,0.94,0.0,0.29400000000000004
HumanEval/126,False,0.7,0.7,0.4,0.9999985694885254,0.9,0.0,0.4099998569488526
